"breakfast","tea.time","evening","lunch","dinner","always","home","work","tearoom","friends","resto","pub","Tea","How","sugar","how","where","price"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","black","alone","No.sugar","tea bag","tea shop","p_upscale"
"Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","friends","resto","Not.pub","Earl Grey","alone","sugar","tea bag+unpackaged","tea shop","p_variable"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","tea shop","p_unknown"
"breakfast","tea time","evening","Not.lunch","Not.dinner","always","home","work","Not.tearoom","friends","Not.resto","Not.pub","green","alone","No.sugar","tea bag","tea shop","p_upscale"
"breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","chain store","p_branded"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","black","milk","No.sugar","tea bag","chain store","p_branded"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","tea shop","p_variable"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_branded"
"breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","always","home","work","tearoom","friends","Not.resto","pub","black","other","No.sugar","tea bag","tea shop","p_branded"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","sugar","tea bag","chain store","p_branded"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","resto","Not.pub","Earl Grey","milk","No.sugar","tea bag+unpackaged","chain store","p_branded"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","chain store","p_branded"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","lemon","No.sugar","tea bag+unpackaged","chain store+tea shop","p_variable"
"breakfast","tea time","evening","lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","green","alone","No.sugar","tea bag+unpackaged","tea shop","p_upscale"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","chain store","p_branded"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","always","home","Not.work","tearoom","friends","Not.resto","pub","Earl Grey","milk","No.sugar","unpackaged","tea shop","p_branded"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable"
"breakfast","Not.tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","chain store","p_branded"
"breakfast","Not.tea time","evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","black","milk","No.sugar","tea bag","chain store","p_unknown"
"Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag+unpackaged","chain store","p_branded"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","lemon","sugar","tea bag","chain store","p_branded"
"Not.breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","Not.friends","Not.resto","Not.pub","Earl Grey","alone","No.sugar","tea bag","chain store","p_variable"
"breakfast","tea time","Not.evening","Not.lunch","Not.dinner","Not.always","home","Not.work","Not.tearoom","friends","Not.resto","Not.pub","Earl Grey","milk","No.sugar","tea bag","chain store","p_variable"
